frame,abstime,reltime,Function 1 [C]
1007,37:00.4,1006.113,1.63E+02
1008,37:01.4,1007.114,1.62E+02
1009,37:02.4,1008.115,1.62E+02
1010,37:03.4,1009.115,1.62E+02
1011,37:04.4,1010.116,1.60E+02
1012,37:05.4,1011.117,1.59E+02
1013,37:06.4,1012.119,1.59E+02
1014,37:07.4,1013.118,1.59E+02
1015,37:08.4,1014.119,1.58E+02
1016,37:09.4,1015.12,1.58E+02
1017,37:10.4,1016.122,1.57E+02
1018,37:11.4,1017.122,1.57E+02
1019,37:12.4,1018.123,1.57E+02
1020,37:13.4,1019.125,1.56E+02
1021,37:14.4,1020.125,1.56E+02
1022,37:15.4,1021.127,1.56E+02
1023,37:16.4,1022.127,1.54E+02
1024,37:17.4,1023.127,1.54E+02
1025,37:18.4,1024.128,1.54E+02
1026,37:19.4,1025.13,1.54E+02
1027,37:20.4,1026.13,1.53E+02
1028,37:21.4,1027.131,1.53E+02
1029,37:22.4,1028.131,1.53E+02
1030,37:23.4,1029.132,1.52E+02
1031,37:24.4,1030.134,1.52E+02
1032,37:25.4,1031.135,1.50E+02
1033,37:26.3,1032.102,1.50E+02
1034,37:27.3,1033.104,1.50E+02
1035,37:28.3,1034.105,1.49E+02
1036,37:29.3,1035.106,1.48E+02
1037,37:30.3,1036.106,1.48E+02
1038,37:31.4,1037.107,1.48E+02
1039,37:32.4,1038.108,1.47E+02
1040,37:33.4,1039.108,1.47E+02
1041,37:34.4,1040.11,1.46E+02
1042,37:35.3,1041.074,1.46E+02
1043,37:35.7,1041.429,1.46E+02
1044,37:37.3,1043.079,1.46E+02
1045,37:38.3,1044.081,1.45E+02
1046,37:39.3,1045.082,1.44E+02
1049,37:42.3,1048.086,1.43E+02
1061,37:54.3,1060.095,2.21E+02
1062,37:55.3,1061.095,2.20E+02
1063,37:56.3,1062.096,2.17E+02
1064,37:57.3,1063.065,2.14E+02
1065,37:58.3,1064.065,2.11E+02
1066,37:59.3,1065.067,2.09E+02
1067,38:00.3,1066.067,2.07E+02
1068,38:01.3,1067.068,2.06E+02
1069,38:02.3,1068.069,2.05E+02
1070,38:03.3,1069.07,2.05E+02
1071,38:04.3,1070.07,2.04E+02
1072,38:05.3,1071.071,2.03E+02
1073,38:06.3,1072.072,2.01E+02
1074,38:07.3,1073.074,2.00E+02
1075,38:08.3,1074.074,2.00E+02
1076,38:09.3,1075.074,1.99E+02
1077,38:10.3,1076.075,1.98E+02
1078,38:11.3,1077.076,1.97E+02
1079,38:12.3,1078.077,1.96E+02
1080,38:13.3,1079.079,1.95E+02
1081,38:14.3,1080.08,1.94E+02
1082,38:15.3,1081.08,1.93E+02
1083,38:16.3,1082.082,1.93E+02
1084,38:17.3,1083.082,1.91E+02
1085,38:18.3,1084.083,1.90E+02
1086,38:19.3,1085.083,1.90E+02
1087,38:20.3,1086.084,1.88E+02
1088,38:21.3,1087.016,1.88E+02
1089,38:21.7,1087.463,1.88E+02
1090,38:23.3,1089.055,1.87E+02
1091,38:24.3,1090.057,1.86E+02
1092,38:25.3,1091.057,1.85E+02
1093,38:26.3,1092.058,1.85E+02
1094,38:27.3,1093.059,1.84E+02
1095,38:28.3,1094.061,1.83E+02
1096,38:29.3,1095.028,1.83E+02
1097,38:30.3,1096.028,1.82E+02
1098,38:31.3,1097.03,1.82E+02
1099,38:32.3,1098.031,1.81E+02
1100,38:33.3,1099.032,1.81E+02
1101,38:34.3,1100.033,1.80E+02
1102,38:35.3,1101.032,1.79E+02
1103,38:36.3,1102.034,1.79E+02
1104,38:37.3,1103.034,1.78E+02
1105,38:38.3,1104.036,1.77E+02
1106,38:39.3,1105.036,1.77E+02
1107,38:40.3,1106.037,1.77E+02
1108,38:41.3,1107.038,1.76E+02
1109,38:42.3,1108.038,1.75E+02
1110,38:43.3,1109.04,1.75E+02
1111,38:44.3,1110.04,1.74E+02
1112,38:45.3,1111.042,1.73E+02
1113,38:46.3,1112.043,1.72E+02
1114,38:47.3,1113.044,1.72E+02
1115,38:48.3,1114.045,1.71E+02
1116,38:49.3,1115.046,1.71E+02
1117,38:50.3,1116.046,1.70E+02
1118,38:51.3,1117.047,1.70E+02
1119,38:52.3,1118.048,1.69E+02
1120,38:53.3,1119.049,1.68E+02
1121,38:54.3,1120.05,1.68E+02
